Method,Shot Size,Seed,Learning Rate,Accuracy,F1 Score,Batch Size
Zero-Shot Evaluation,0,42,N/A,0.5092,0.4382,
Zero-Shot Evaluation,0,6657,N/A,0.5092,0.3374,
Zero-Shot Evaluation,0,2025,N/A,0.5080,0.3430,
Few-Shot (k=10) - LoRA (FP16) - Seed 42_fewshot_10,10,42,0.0001,0.5092,0.3374,4.0
Few-Shot (k=10) - LoRA (FP16) - Seed 6657_fewshot_10,10,6657,0.0001,0.5367,0.4252,4.0
Few-Shot (k=10) - LoRA (FP16) - Seed 2025_fewshot_10,10,2025,0.0001,0.5080,0.3369,4.0
Few-Shot (k=50) - LoRA (FP16) - Seed 42_fewshot_50,50,42,0.0001,0.5080,0.3369,4.0
Few-Shot (k=50) - LoRA (FP16) - Seed 6657_fewshot_50,50,6657,0.0001,0.5321,0.4105,4.0
Few-Shot (k=50) - LoRA (FP16) - Seed 2025_fewshot_50,50,2025,0.0001,0.5080,0.3369,4.0
Few-Shot (k=100) - LoRA (FP16) - Seed 42_fewshot_100,100,42,0.0001,0.5080,0.3410,4.0
Few-Shot (k=100) - LoRA (FP16) - Seed 6657_fewshot_100,100,6657,0.0001,0.5195,0.3716,4.0
Few-Shot (k=100) - LoRA (FP16) - Seed 2025_fewshot_100,100,2025,0.0001,0.5080,0.3430,4.0
Few-Shot (k=200) - LoRA (FP16) - Seed 42_fewshot_200,200,42,0.0001,0.5837,0.5166,4.0
Few-Shot (k=200) - LoRA (FP16) - Seed 6657_fewshot_200,200,6657,0.0001,0.5677,0.4818,4.0
Few-Shot (k=200) - LoRA (FP16) - Seed 2025_fewshot_200,200,2025,0.0001,0.5287,0.4070,4.0
Few-Shot (k=500) - LoRA (FP16) - Seed 42_fewshot_500,500,42,0.0001,0.8119,0.8065,4.0
Few-Shot (k=500) - LoRA (FP16) - Seed 6657_fewshot_500,500,6657,0.0001,0.8635,0.8635,4.0
Few-Shot (k=500) - LoRA (FP16) - Seed 2025_fewshot_500,500,2025,0.0001,0.8383,0.8377,4.0
Few-Shot (k=1000) - LoRA (FP16) - Seed 42_fewshot_1000,1000,42,0.0001,0.8050,0.8010,16.0
Few-Shot (k=1000) - LoRA (FP16) - Seed 6657_fewshot_1000,1000,6657,0.0001,0.8440,0.8433,16.0
Few-Shot (k=1000) - LoRA (FP16) - Seed 2025_fewshot_1000,1000,2025,0.0001,0.8096,0.8078,16.0
Few-Shot (k=2000) - LoRA (FP16) - Seed 42_fewshot_2000,2000,42,0.0001,0.8589,0.8589,16.0
Few-Shot (k=2000) - LoRA (FP16) - Seed 6657_fewshot_2000,2000,6657,0.0001,0.8739,0.8739,16.0
Few-Shot (k=2000) - LoRA (FP16) - Seed 2025_fewshot_2000,2000,2025,0.0001,0.8704,0.8704,16.0
Few-Shot (k=5000) - LoRA (FP16) - Seed 42_fewshot_5000,5000,42,0.0001,0.8991,0.8990,16.0
Few-Shot (k=5000) - LoRA (FP16) - Seed 6657_fewshot_5000,5000,6657,0.0001,0.9014,0.9014,16.0
Few-Shot (k=5000) - LoRA (FP16) - Seed 2025_fewshot_5000,5000,2025,0.0001,0.8956,0.8954,16.0
Few-Shot (k=10000) - LoRA (FP16) - Seed 42_fewshot_10000,10000,42,0.0001,0.9128,0.9128,16.0
Few-Shot (k=10000) - LoRA (FP16) - Seed 6657_fewshot_10000,10000,6657,0.0001,0.9106,0.9105,16.0
Few-Shot (k=10000) - LoRA (FP16) - Seed 2025_fewshot_10000,10000,2025,0.0001,0.9037,0.9036,16.0
Few-Shot (k=67349) - LoRA (FP16) - Seed 42_fewshot_67349,67349,42,0.0001,0.9174,0.9173,16.0
Few-Shot (k=67349) - LoRA (FP16) - Seed 6657_fewshot_67349,67349,6657,0.0001,0.9174,0.9173,16.0
Few-Shot (k=67349) - LoRA (FP16) - Seed 2025_fewshot_67349,67349,2025,0.0001,0.9232,0.9231,16.0
